SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_INCOME_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OWN_CAR_AGE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3
100001,0,M,Y,N,1,198900.0,1195300.0,80396.7,Secondary / secondary special,Married,Working,-19840,-817,14.1,0.8740811329710523,0.8937065847943199,0.5219798757837548
100002,1,F,N,Y,0,145900.0,883700.0,87083.1,Higher education,Civil marriage,Commercial associate,-8747,-1658,,,0.5426427709736662,0.5910992712329333
100003,0,M,Y,N,1,244500.0,1149900.0,47650.0,Secondary / secondary special,Married,Commercial associate,-23900,-705,18.5,0.6124928268660227,0.8576426198687952,0.770925086588166
100004,0,M,N,N,1,116800.0,265400.0,10242.0,Secondary / secondary special,Single / not married,Working,-15188,-2474,,0.6852909284754105,0.7843007269907145,0.6777811011348521
100005,0,F,N,N,0,155400.0,363100.0,26567.1,Secondary / secondary special,Civil marriage,Working,-15619,-574,,,0.4987965715175279,0.36479102382035256
100006,0,M,N,Y,0,220300.0,660400.0,36752.3,Secondary / secondary special,Single / not married,Working,-23213,-421,,0.7737254231504457,0.5179012396037774,0.48344827063921614
100007,0,M,Y,N,0,85100.0,436000.0,22842.5,Secondary / secondary special,Single / not married,State servant,-11255,-880,17.3,,0.4800639907475287,0.647153363232506
100008,0,M,N,Y,0,400400.0,2283400.0,193721.8,Higher education,Married,Working,-13154,-345,,,0.844581661112615,0.8219587327634114
100009,0,F,N,Y,0,113000.0,539200.0,34127.8,Secondary / secondary special,Married,Working,-22660,-491,,0.746958330346653,0.6146081227080527,0.4683878272920988
100010,0,F,N,N,0,120100.0,687400.0,43531.9,Secondary / secondary special,Married,Commercial associate,-16780,-1478,,0.661348890234856,0.7011131329186652,0.8183159312958346
100011,0,F,Y,Y,1,148600.0,400900.0,14772.2,Secondary / secondary special,Married,Pensioner,-15036,-321,10.8,,0.8913403557743956,0.7166049277058918
100012,1,M,N,N,0,205500.0,1007500.0,83099.2,Secondary / secondary special,Married,Pensioner,-24405,365243,,0.3572568284422076,0.2773414653611123,0.6776829747243956
100013,0,F,N,Y,0,214500.0,614500.0,41712.9,Secondary / secondary special,Single / not married,Working,-23251,-328,,,0.7480139739221133,0.22890338947496974
100014,0,M,Y,Y,0,289100.0,1380700.0,72349.2,Secondary / secondary special,Married,Unemployed,-23227,365243,10.7,,0.33719516999243837,0.6992469930268315
100015,0,F,Y,N,0,143100.0,234900.0,18392.0,Secondary / secondary special,Widow,Working,-11390,-2770,18.9,0.5608282857587729,0.6983717281373721,0.6224159052534741
